pid,priority,n_run,running_time,ticks
3, 4, 105, 1602, 3530
6, 4, 98, 854, 3544
4, 4, 98, 731, 3547
5, 4, 98, 2, 3561
3, 4, 106, 1619, 3564
6, 4, 99, 854, 3578
4, 4, 99, 748, 3581
5, 4, 99, 2, 3595
3, 4, 107, 1636, 3598
6, 4, 100, 854, 3612
4, 4, 100, 765, 3615
5, 4, 100, 2, 3629
3, 4, 108, 1653, 3632
6, 4, 101, 854, 3646
4, 4, 101, 782, 3649
5, 4, 101, 2, 3663
3, 4, 109, 1670, 3666
6, 4, 102, 854, 3680
4, 4, 102, 799, 3683
5, 4, 102, 2, 3697
3, 4, 110, 1687, 3700
6, 4, 103, 854, 3714
4, 4, 103, 816, 3717
5, 4, 103, 2, 3731
3, 4, 111, 1704, 3734
6, 4, 104, 854, 3748
4, 4, 104, 833, 3751
